
   texto  |   tipo   | atributo 
--------------------------------
   program|         1|
       var|         2|
       int|         3|
      real|         4|          
         (|        10|
         )|        11|
         {|        12|
         }|        13|
         =|        14|
         ,|        15|
         ;|        16|
      aaa2|         5|
   abc3abc|         5|
       123|         6|       123
      12.3|         7|     12.30
         +|         8|         1
         -|         8|         2
         *|         9|         3
         /|         9|         4
